unique_key,surah_number,ayat_number,arabic_root_word,normalized_arabic_word,translitaration_word,english_word_subject_category,english_word_sub_subject_category,word_sub_category_description,inference_flag,hadith_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,2,258,???????,?????,Aayata,Words Used in Pair,Life & Death,"Abraham said: ""My Lord is He Who Giveth life and death."" Nimrod said: ""I give life and death"". Said Abraham: ""Verily Allah causes the sun to rise from the east: Then cause it to rise from the West."" Thus the disbeliever was confounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,2,248,????? ????????,????? ????????,Aayata mulkiheee,Signs of Kingdom,Proof of Saul's kingship,"The Prophet said that as proof of Saul's authority there shall come to you the Ark wherein is tranquility from your Lord, and the relics left by the family of Moses and Aaron, carried by angels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,2,245,?????????? ?????????,?????????? ?????????,ad'aafan kaseerah,Many Times,Reward on Loan to Allah,Who will give Allah a beautiful loan which Allah will double and multiply many times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,2,260,??????????,??????????,ad'uu hunna,Call,Story of Abraham and Bird resurrection,"Allah said: ""Take four birds; Tame them to turn to you and then put a portion of them on every hill and call to them: They will come to thee (Flying) in haste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,2,250,????????,????????,afrigh,Pour,Supplication of Saul,"When Saul'a army advanced to meet Goliath and his forces, they prayed: ""Our Lord! Pour on us patience and make our steps firm: Help us against those who disbelieve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2,247,???????,???????,ahaqqu,Right,Questioning Saul's Appointment as king,"The Children of Israel objected to the appointment of Saul as their king saying that they had more right and better fitted and also he did not have wealth in abundance?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,2,243,???????????,???????????,ahyaahum,Restored Life,Resurrection dead in this world,"Allah said to the thousands who fled their homes in fear of death to ""Die"": Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,2,260,???????,???????,Aj 'al,Put,Story of Abraham and Bird resurrection,"Allah said: ""Take four birds; Tame them to turn to you and then put a portion of them on every hill and call to them: They will come to thee (Flying) in haste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2,235,????????,????????,ajalah,Term,Prescribed Term for waiting,"There is no blame on you if you hint of marriage or conceal it. Allah knows that you will remember them: But do not make a secret promise with them except in in speaking in Honourable sayings, nor resolve on the knot of marriage untill the term prescribed is fulfilled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2,231,???????????,???????????,ajalahunna,Iddat,Actions during divorce proceedings,"When you divorce women, and they fulfil the term of their ('Iddat), either take them back on equitable terms or set them free on equitable terms; but do not take them back to hur them or transgress against them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2,231,???????????,???????????,ajalahunna,Term,Actions during divorce proceedings,"When you divorce women, and they fulfil the term of their ('Iddat), either take them back on equitable terms or set them free on equitable terms; but do not take them back to hur them or transgress against them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,2,262,??????????,??????????,ajruhum,Reward,Reward of spending in the Way of Allah without hurting or reminding,"Those who spend their wealth in the way of Allah, and follow not with reminders of their generosity or with injury,-for them their reward is with their Lord:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,2,253, ???????????, ???????????,Akh talafoo,Differ,Difference on Messages sent by Allah,"If Allah had so willed, succeeding generations would not have fought among each other, after clear (Signs) had come to them, but they (chose) to wrangle, some believing and others rejecting. If Allah had so willed, they would not have fought each other; but Allah does what He likes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2,235,????????????,????????????,aknantum,Conceal,Marriage to a Widow,"There is no blame on you if you hint of marriage or conceal it. Allah knows that you will remember them: But do not make a secret promise with them except in in speaking in Honourable sayings, nor resolve on the knot of marriage untill the term prescribed is fulfilled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,2,243,???????? ???????? ??? ???????????,???????? ???????? ??? ???????????,aksarannaasi laa yashkuroon,Most Men Are Ungrateful,Most Men are Ungrateful,"Allah said to the thousands who fled their homes in fear of death to ""Die"": Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2,243,???????? ???????? ??? ???????????,???????? ???????? ??? ???????????,aksarannaasi laa yashkuroon,Most Men Thank Not,Most Men are Ungrateful,"Allah said to the thousands who fled their homes in fear of death to ""Die"": Then He restored them to life. For Allah is full of bounty to mankind, but Most of them are ungrateful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,2,255,?????????,?????????,Al ard,Earth,Heaven & Earth belongs to Allah,Everything in Heaven & Earth belongs to Him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2,240,?????????,?????????,al hawli,One year,Maintenance of Widow,Those of you who die and leave widows should bequeath for their widows a year's maintenance and residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2,240,?????????,?????????,al hawli,Year,Maintenance of Widow,Those of you who die and leave widows should bequeath for their widows a year's maintenance and residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,2,251,???????????,???????????,al Hikmata,Wisdom,Reward to David,By Allah's permission Saul's army routed them; and David killed Goliath; and Allah gave him power and wisdom and taught him whatever He willed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2,231,???????????,???????????,al hikmati,Wisdom,Remember His books and wisdom He sent,"Do not treat Allah.s Signs as a jest, but remember Allah's favours on you, and that which He sent down to you of the Book and Wisdom, for your instruction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2,231,??????????,??????????,al kitaabi,Book,Remember His books and wisdom He sent,"Do not treat Allah.s Signs as a jest, but remember Allah's favours on you, and that which He sent down to you of the Book and Wisdom, for your instruction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2,235,??????????,??????????,al kitaabu,Prescribe,Prescribed Term for waiting,"There is no blame on you if you hint of marriage or conceal it. Allah knows that you will remember them: But do not make a secret promise with them except in in speaking in Honourable sayings, nor resolve on the knot of marriage untill the term prescribed is fulfilled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,2,248,??????????????,??????????????,al malaaa'ikah,Angels,Carrying remnants Left by Moses & Aaron,"The Prophet said that as proof of Saul's authority there shall come to you the Ark wherein is tranquility from your Lord, and the relics left by the family of Moses and Aaron, carried by angels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2,243,?????????,?????????,al mawti,Death,Abondoning home for fear of death,"Did you not see those who abandoned their homes, though they were thousands, for fear of death?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2,236,??????????,??????????,al moosi'i,Wealthy,Divorce compensation,"There is no blame on you if you divorce women before consummation or the fixation of their dower; but bestow on them (a suitable gift), the wealthy according to his means, and the poor according to his means;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,2,247,?????????,?????????,al mulku,Kingdom,Questioning Saul's Appointment as king,"The Children of Israel objected to the appointment of Saul as their king saying that they had more right and better fitted and also he did not have wealth in abundance?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2,236,???????????,???????????,al muqtiri,Poor,Divorce compensation,"There is no blame on you if you divorce women before consummation or the fixation of their dower; but bestow on them (a suitable gift), the wealthy according to his means, and the poor according to his means;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,2,252,??????????????,??????????????,al mursaleen,Messenger,Muhammad SAW is a Messenger,These are the Ayats of Allah. we recite to you in truth: Verily you are one of the mesenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2,241,?????????????,?????????????,al muttaqeen,God Fearing,Maintenance of Divorced Women,For divorced women Maintenance (should be provided) on a reasonable (scale). This is a duty on the God Fearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2,233,??????????,??????????,al waarisi,Heir,Fair Treatment,"No person shall have a burden laid on him greater than he can bear. No mother shall be Treated unfairly on account of her child. Nor father on account of his child, an heir shall be responsible in the same way",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,2,256,???????????,???????????,Al wusqaa,Firm,Trustworthy Handhold That Never Breaks ,"Whoever Disbelieves Taghut/evil and believes in Allah has grasped the most trustworthy handhold, that never breaks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2,236,??????????????,??????????????,alalmuhsineen,Good Doers,Divorce compensation according to means,"Duty on the doer of goods to compensate the wife during divorce. The wealthy according to his means, and the poor according to his means;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
